Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Merge pull request #5 from mikebronner/patch-1,0.48948416,Fix missing request (#137),,0
2,fix disk,0.8432014,Fix disk (f00615f),,1
3,Merge branch '1.x' into srdante/1.x,0.45071283,Merge action-section attributes (#879),,0
4,Mix: Fix manifest path & enable versioning,0.4938368,Update install command output to display vite build command by @RhysLees in link,,0
5,Include all user table columns in the UserFactory (#1168),0.5686451,Use session table from the config (#265),,0
6,"Revert ""Updating session function to use configured table (#103)"" (#105)",0.78718126,Update sessions table (49a6815),Lint stub files with Pint Co-authored-by: Dries Vints dries@vints.be wip Co-authored-by: Facundo Otrino fotrino@hotmail.com,1
7,Use Alpine's @click.prevent for log out (#989),0.8979814,Use Alpine's @click.prevent for log out by @jrd-lewis in link,"If email is hidden for serialization (in the User model hidden array) the view will crash, as toArray() won't include the email. Hiding email field in particular is useful to avoid accidentally exposing other users emails to the frontend / client.",1
8,Get fresh user instance on two factor authentication tests (#1281),0.864938,Get fresh user instance on two factor authentication tests by @telkins in link,"""Set z-index to 10 for Login/Register container to ensure it appears on top of other elements""",1
9,remove just in time mode from tailwind config (#926),0.69015265,Remove unneeded tailwind config variant definitions (#853)﻿,"This class is used elsewhere in the code where the user profile photo is displayed, so the purpose of this change is to maintain style consistency in displaying the profile photo.",0
10,use commonmark,0.6122716,Support both CommonMark v1 & v2 (#845),"Update two-factor-authentication-form.blade.php Added padding and white background to SVG, phones with lower quality camera can't read QR code due to low contrast in dark mode. Update TwoFactorAuthenticationForm.vue Changes to Inertia stack QR code contrast issue in dark mode.",0
11,install route group,0.64205986,Fix permissions for team create routes (#669),,0
12,Utilize static properties for team and membership like User. (#119),0.936509,"Use static properties for Team and Membership too (#119, #121)",,1
13,[1.x] Make team show use policies (#379),0.9665543,Make team show use policies (#379),remove unused imports remove unused imports in tests/,1
14,"Unset ""managingPermissionsFor"" property after the model is deleted (#155)",0.65186006,Get model of PersonalAccessToken before deleting it (#771),,0
15,selector formatting,0.42051828,Fix selector query (#772)﻿,"Add conditional logic to only show ""Change Teams"" option if more than one team exists for user. Update navigation-menu.blade.php Co-authored-by: Taylor Otwell taylor@laravel.com",0
16,Update AddTeamMemberTest.php,0.70600194,Update UpdateUserProfileInformation.php (#247),,1
17,Skip two factor authentication tests when the feature is disabled (#1095),0.85345703,Skip two factor authentication tests when the feature is disabled by @mbabker in link,,1
18,[2.x] Fixes Laravel 10 --pest installation (#1246),0.6625675,Update to Laravel Mix v6 (#582),,0
19,Update Fortify Actions CreateNewUser.php and CreateNewUserWithTeams.php stubs to use PasswordValidationRules Trait (#168),0.7958605,Update Fortify Actions to use PasswordValidationRules Trait (#168),,1
20,Fix small typo (#1050),0.51514804,Avoids eqeqeq errors in eslint (#580)﻿,,0
21,Use defineComponent for easier typescript setup (#869),0.9183684,Use defineComponent in vue stubs for easier typescript setup (#869),fix: issue on two-factor-challenge page formatting Co-authored-by: Taylor Otwell taylor@laravel.com,1
22,add emits in modals and change value to modelValue on Input component,0.44173774,Add z-index to the modal (#633),,0
23,Fixed an issue causing warning due to assignment of object to a boolean type of prop. (#1056),0.55391955,"Fix bugs with method names (d85870d, 54a3db6)",,0
24,update inputmode,0.5632538,Update sessions table (49a6815),"In my installation, these tests fail because the user doesn't have the two_factor_confirmed_at attribute: The attribute [two_factor_confirmed_at] either does not exist or was not retrieved for model [App\Models\User]. (View: /var/www/html/vendor/livewire/livewire/src/views/mount-component.blade.php) I believe this is because the factory doesn't specify the attribute. I considered updating the factory to include it (set to null), but then I thought it might be a little messy because there should be a check to see if the feature's enabled. This solution, however, requires everyone to remember to get a fresh user instance, when needed, without it being clear as to why. So...let me know if I should try a different approach...",0
25,Extract the navigation to a new Livewire component and listen for refresh events,0.6635747,Add livewire component paths to default refresh paths for livewire stack by @timacdonald in link,"Allow callable to modify withPersonalTeam I want this in jetstream projects, and it feels like something others would also want. It helps to set up the seeder in a Laravel Jetstream Project quickly. For example: php User::factory()->withPersonalTeam(             fn (TeamFactory $factory) => $factory                  ->state([                      'foo' => 'bar',                   ])                  ->has(                      Post::factory()                           ->count(10)                  ) )         ->create(); Update UserFactory.php formatting Co-authored-by: Taylor Otwell taylor@laravel.com",0
26,[2.x] Strip dark classes from welcome component when dark mode isn't selected. (#1224),0.68164563,Remove dark classes from QR Code (#788),,0
27,Made sure that the current session is destroyed when deleting your account (both in Inertia and Livewire),0.9040861,"Made sure that the current session is destroyed when deleting your account (#742, 9663d7e)﻿",,1
28,Align min. inertiajs/inertia-laravel with #326 (#372),0.7637538,Lock inertiajs/inertia-laravel to ^0.2.4 (#371),,1
29,Merge pull request #416 from viezel/php8,0.6197427,PHP 8 Support (#416),,0
30,Remove unused component (#243),0.7576443,Remove unused Vue components (#596),Adds type checking Apply fixes from StyleCI Fixes tests Update .gitattributes Update static-analysis.yml Co-authored-by: StyleCI Bot bot@styleci.io,1
31,Replace InertiaServiceProvider with Middleware,0.46517557,Update inertiajs/inertia-laravel to ^0.6.3 by @ashleyshenton in link,,0
32,"Change ""Logout"" text to ""Log out"" and ""Login"" to ""Log in"" (#677)",0.99999994,"Change ""Logout"" text to ""Log out"" and ""Login"" to ""Log in"" (#677)﻿",Conflicts: CHANGELOG.md,1
33,[1.x] Provide permissions to Inertia (#454),0.6776662,Allow using Inertia without a session (#43),This reverts commit 1b8db2e3506b1d3e003ea5968f508b966aec056c.,0
34,Changed the column type of profile_photo_path to string(2048) (#794),0.9499427,Changed the column type of profile_photo_path (#794),,1
35,[2.x] Checking for photos feature in mobile navigation (#478),0.57982826,Inertia - clear user profile photo input (#781)﻿,Ensure backwards compatibility with Laravel 9 is covered in CI Typo,0
36,Check current model supports HasTeams before trying to access team information. (#1120),0.94211644,Check current model supports HasTeams before trying to access team information. by @crynobone in link,Update JetstreamServiceProvider.php Update JetstreamServiceProvider.php Update JetstreamServiceProvider.php,1
37,Request namespace may also need to be imported (#725),0.56125844,Add .vue extension to imports by @SamuelMwangiW in link,,0
38,Add disable attribute on save button while profile pic is uploading (#266),0.95418113,Disable save button while profile pic is uploading (#266)﻿,Add upgrade guide for Jetstream 3.x Use GitHub-style notes Formatting Update UPGRADE.md Co-authored-by: Taylor Otwell taylor@laravel.com,1
39,Replacing the Name type with the Email type for Member Email input to TeamMemberManager. (#653),0.7084516,Use email input type (#653)﻿,,1
40,Apply fixes from StyleCI (#447),0.64367735,Fix modal (47ad018),,0
41,Apply fixes from StyleCI (#19),0.560371,Style improvements by @jessarcher in link,,0
42,[2.x] Add section title aside slot  (#727),0.9524803,Add section title aside slot (#727),,1
43,[2.x] Minor Inertia upgrade (#569),0.76788884,Update inertiajs/inertia-laravel to ^0.6.3 by @ashleyshenton in link,,1
44,Remove jetstream-js,0.6776136,"Remove ""Jet"" component prefix by @jessarcher in link",,0
45,add id to the terms checkbox,0.70786846,Register: add required to terms checkbox by @A-w-x in link,,1
46,Use session table from the config (#265),0.99999976,Use session table from the config (#265),Update font and welcome page Freshen welcome component Tweak spacing and colors Fix arrow colors,1
47,add support multilang to livewire (#101),0.704108,"Support Livewire V2 (#23, b99cbd7)",Conflicts: CHANGELOG.md stubs/livewire/resources/views/auth/forgot-password.blade.php stubs/livewire/resources/views/auth/login.blade.php stubs/livewire/resources/views/auth/register.blade.php stubs/livewire/resources/views/auth/reset-password.blade.php stubs/livewire/resources/views/components/confirms-password.blade.php stubs/livewire/resources/views/profile/delete-user-form.blade.php stubs/livewire/resources/views/profile/logout-other-browser-sessions-form.blade.php stubs/livewire/resources/views/profile/update-profile-information-form.blade.php,1
48,[2.x] Fixes Pest stubs files (#1240),0.6776124,Pest support (#866),Fixes Laravel 10 --pest installation Update tests.yml Co-authored-by: Dries Vints dries@vints.io,0
49,Dark Mode (#1234),0.73503,Dark Mode by @fotrino in link,,1
50,Provide a unique key attribute (#387),0.6544026,Use KeyboardEvent key attribute for Escape (#911)﻿,,0
51,[2.x] Vite preloading (#1169),0.6932279,Vite preloading by @timacdonald in link,Fixes return status code on Pest Adjusts versions Update InstallCommand.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
52,Fix missed closeModal calls,0.5180458,Fix missing request (#137),,0
53,Bump Alpine versions to 2.7.3 (#404),0.8634997,Bump Alpine.js version up to 2.7.0 (#262),Fixed not redirecting after deleting the user (#1236) Update HasProfilePhoto.php Apply StyleCI change Co-authored-by: Jakye jakyeru@gmail.com,1
54,return early,0.3187448,Initial release.,,0
55,Fix spelling error in the DeleteTeamForm component. (#69),0.5763182,Use cancel wording (9b7dbb4e),,0
56,Merge branch 'master' into add-i18n-to-inertia,0.40370843,Use incrementing ids for team ids ([71b67f1](link,,0
57,[2.x] Install pest as devDependency (#1040),0.82435036,Install pest as devDependency by @abenerd in link,,1
58,Apply fixes from StyleCI (#77),0.5805379,Fix modal (47ad018),,0
59,Use ubuntu-18.04,0.42065012,Vue v3.0 support (#666),,0
