Index,Release Note,Release Note With Abstraction
1,"
Fix gate check when updating user permissions on a team by @drewrawitz in https://github.com/laravel/jetstream/pull/1316
",Fix gate check when updating user permissions on a team by @drewrawitz in link
2,"
Migrate to modules by @timacdonald in https://github.com/laravel/jetstream/pull/1315
",Migrate to modules by @timacdonald in link
3,"
Update two-factor-authentication-form.blade.php by @vivante64 in https://github.com/laravel/jetstream/pull/1305
Add object-cover class to team member profile photo by @anamarijapapic in https://github.com/laravel/jetstream/pull/1304
Update Welcome.vue by @aymanatmeh in https://github.com/laravel/jetstream/pull/1302
Ensure email is included in state by @antja0 in https://github.com/laravel/jetstream/pull/1312
Lint stub files with Pint by @driesvints in https://github.com/laravel/jetstream/pull/1313
","Update two-factor-authentication-form.blade.php by @vivante64 in link
Add object-cover class to team member profile photo by @anamarijapapic in link
Update Welcome.vue by @aymanatmeh in link
Ensure email is included in state by @antja0 in link
Lint stub files with Pint by @driesvints in link"
4,"
Remove unused imports by @akunbeben in https://github.com/laravel/jetstream/pull/1297
Do not install auth service provider by @taylorotwell in https://github.com/laravel/jetstream/commit/dfac46f3ff3ba9a3866ac343d6aee1cc398ff0b4
","Remove unused imports by @akunbeben in link
Do not install auth service provider by @taylorotwell in link"
5,"
Fix issue with page reload/refresh on two-factor-challenge page by @andrewdwallo in https://github.com/laravel/jetstream/pull/1291
Remove v-show directive from ""user profile information form"" template by @ndresx in https://github.com/laravel/jetstream/pull/1292
Only show ""Change Teams"" options if multiple teams are available by @briankiewel in https://github.com/laravel/jetstream/pull/1294
","Fix issue with page reload/refresh on two-factor-challenge page by @andrewdwallo in link
Remove v-show directive from ""user profile information form"" template by @ndresx in link
Only show ""Change Teams"" options if multiple teams are available by @briankiewel in link"
6,"
Use Pest 2 by @nunomaduro in https://github.com/laravel/jetstream/pull/1280
Fixes typo from userPage to usePage by @john-shipp in https://github.com/laravel/jetstream/pull/1277
Allow modification of the personal team using an optional callable by @peterfox in https://github.com/laravel/jetstream/pull/1278
Get fresh user instance on two factor authentication tests by @telkins in https://github.com/laravel/jetstream/pull/1281
","Use Pest 2 by @nunomaduro in link
Fixes typo from userPage to usePage by @john-shipp in link
Allow modification of the personal team using an optional callable by @peterfox in link
Get fresh user instance on two factor authentication tests by @telkins in link"
7,"
Removes @return $this when returning static by @nunomaduro in https://github.com/laravel/jetstream/pull/1268
Use route helper in two factor authentication form by @sushantaryal in https://github.com/laravel/jetstream/pull/1276
","Removes @return $this when returning static by @nunomaduro in link
Use route helper in two factor authentication form by @sushantaryal in link"
8,"
Fixes incorrect classes for Laracasts link on Welcome.vue component by @AaronLil in https://github.com/laravel/jetstream/pull/1252
Removed loadViewsFrom by @sirikkoster in https://github.com/laravel/jetstream/pull/1259
","Fixes incorrect classes for Laracasts link on Welcome.vue component by @AaronLil in link
Removed loadViewsFrom by @sirikkoster in link"
9,"Added

Dark Mode by @fotrino in https://github.com/laravel/jetstream/pull/1234
New welcome by @jessarcher in https://github.com/laravel/jetstream/pull/1247

Changed

Use custom TeamInvitation model in TeamInvitationController by @ManuelLeiner in https://github.com/laravel/jetstream/pull/897
Adding Storage Path support to the HasProfilePhoto Trait by @baminc in https://github.com/laravel/jetstream/pull/999
Change $page.user to $page.auth.user by @SamuelMwangiW in https://github.com/laravel/jetstream/pull/1073
Copy Blade files on installation by @jessarcher in https://github.com/laravel/jetstream/pull/1118
Type Error in PHPdoc by @marvinrabe in https://github.com/laravel/jetstream/pull/1235
Convert Profile Photo URL attribute to newer syntax by @jrd-lewis in https://github.com/laravel/jetstream/pull/1237
","Added
Dark Mode by @fotrino in link
New welcome by @jessarcher in link
Changed
Use custom TeamInvitation model in TeamInvitationController by @ManuelLeiner in link
Adding Storage Path support to the HasProfilePhoto Trait by @baminc in link
Change $page.user to $page.auth.user by @SamuelMwangiW in link
Copy Blade files on installation by @jessarcher in link
Type Error in PHPdoc by @marvinrabe in link
Convert Profile Photo URL attribute to newer syntax by @jrd-lewis in link"
10,"Fixed

Fixes Laravel 10 --pest installation by @nunomaduro in https://github.com/laravel/jetstream/pull/1246
","Fixed
Fixes Laravel 10 --pest installation by @nunomaduro in link"
