Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,feat(opencollective prompt): add prompt in postinstall script,0.46581143,add bundle command (alias for webpack [options]),,0
2,fix: error message on not installed module loaders for configuration (#2282),0.954192,error message on not installed module loaders for configuration (#2282) (29eaa8e),Bumps webpack from 5.82.1 to 5.83.1. - Release notes - Commits  updated-dependencies: - dependency-name: webpack   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
3,docs(init): ✏️ fix init command in README (#1273),0.61950696,"fix path lookup & re-add infra docs (#480) (592fd11), closes #478","Bumps @types/node from 18.16.10 to 18.16.12. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
4,fix: formatting files,0.44273645,Small release where it's now possible to add --output as destination folder,,0
5,fix typo in test case,0.39416996,improve error message for help (#2482) (99ae2a3),Bumps webpack from 5.82.0 to 5.82.1. - Release notes - Commits  updated-dependencies: - dependency-name: webpack   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
6,Merge pull request #252 from kingdaro/kingdaro-show-help-on-no-command,0.44468236,the --help option is working without webpack-dev-server (#2267) (1dae54d),"Bumps @typescript-eslint/eslint-plugin from 5.59.5 to 5.59.6. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@typescript-eslint/eslint-plugin""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
7,chore(deps-dev): bump @types/jest from 29.2.3 to 29.2.4 (#3522),0.5295794,respect stats from the config (webpack@4) (#2098) (2d6e5c6),"Bumps @types/node from 18.16.9 to 18.16.10. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
8,tests: fix (#2092),0.6146312,dependencies: fix vulnerabilities (#458) (3953648),"Bumps @typescript-eslint/parser from 5.59.2 to 5.59.6. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@typescript-eslint/parser""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
9,[WIP] working on support for all props,0.45691603,add pnpm support for package installation (#2040) (46cba36),Bumps yeoman-environment from 3.15.1 to 3.17.0. - Release notes - Commits  updated-dependencies: - dependency-name: yeoman-environment   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
10,chore(deps-dev): bump husky from 4.3.6 to 4.3.7 (#2320),0.6065436,4.8.0 (2021-08-15),"Bumps @types/node from 18.16.6 to 18.16.9. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
11,Commitlint (#300),0.44948348,2.1.0 -> 2.1.3 are regressions and bugfixes from prior commits. 2.1.3 Changelog,,0
12,chore(deps): bump @discoveryjs/json-ext from 0.5.2 to 0.5.3 (#2717),0.6377341,the --progress option is working with --json (#2276) (0595603),Bumps webpack-dev-server from 4.13.3 to 4.15.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: webpack-dev-server   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
13,"fix: warn on unknown, plugin",0.7407717,error message on invalid plugin options (#2380) (f9ce1d3),"Bumps @typescript-eslint/eslint-plugin from 5.59.2 to 5.59.5. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@typescript-eslint/eslint-plugin""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",1
14,Project Initialize,0.41235003,make define-process-env-node-env alias node-env (#3514) (346a518),"Bumps @types/node from 18.16.3 to 18.16.6. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
15,chore(deps-dev): bump @types/node from 18.16.0 to 18.16.1 (#3756),0.4731509,respect NODE_PATH env variable (#3411) (83d1f58),,0
16,refactor: cleanup CompilerOutput (#1866),0.5333956,support top multi compiler options (#2874) (82b1fb7), @webpack-cli/generators@3.0.4 @webpack-cli/serve@2.0.4 webpack-cli@5.1.1,0
17,tests: add test cases for --ignore-warnings (#2294),0.64607584,false positive warning when --watch used (#3783) (c0436ba),,0
18,feat(bin): find config recursively (#689),0.50076973,improve description for 'configtest' command (#2379) (311bae3),Bumps eslint from 8.39.0 to 8.40.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: eslint   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
19,chore(deps-dev): bump @types/node from 18.15.5 to 18.15.6 (#3697),0.4931365,respect NODE_PATH env variable (#3411) (83d1f58),,0
20,ci: add node v19 (#3458),0.6848899,add the --node-env flag (#2388) (e5126f1),,0
21,chore(deps-dev): bump @babel/preset-env from 7.12.10 to 7.12.11 (#2245),0.59035945,5.1.1 (2023-05-09), @webpack-cli/configtest@2.1.0 @webpack-cli/generators@3.0.3 @webpack-cli/serve@2.0.3 webpack-cli@5.1.0,0
22,chore(deps-dev): bump webpack from 5.47.1 to 5.48.0 (#2871),0.65849483,Note: Version bump only for package webpack-cli,,0
23,remove yargs major update due security compromise,0.49930584,"This version fixes permission errors on showing donation banner, security fixes, a way to disable it and has other ones. Full list of changes found here.","Bumps @commitlint/config-conventional from 17.6.1 to 17.6.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@commitlint/config-conventional""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
24,chore: sec patch monorepo,0.5169454,Monorepo packages has also been updated as patches and can be safely updated. ,"Bumps @commitlint/cli from 17.6.1 to 17.6.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@commitlint/cli""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
25,chore(deps-dev): bump webpack from 5.78.0 to 5.79.0 (#3727),0.65404576,Note: Version bump only for package webpack-cli,Bumps lerna from 6.6.1 to 6.6.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: lerna   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
26,chore(deps-dev): bump lint-staged from 13.1.2 to 13.2.0 (#3661),0.5142423,3.0.8 (2018-06-16),,0
27,chore(deps-dev): bump eslint-plugin-prettier from 3.1.4 to 3.2.0 (#2171),0.5572784,3.0.2 (2018-06-04),"Bumps @typescript-eslint/eslint-plugin from 5.59.1 to 5.59.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@typescript-eslint/eslint-plugin""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
28,chore(deps-dev): bump ts-jest from 26.5.2 to 26.5.3 (#2481),0.55161786,5.0.2 (2023-04-21),"Bumps @types/node from 18.16.2 to 18.16.3. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
29,chore(deps-dev): bump webpack from 5.69.1 to 5.70.0 (#3155),0.6579062,"the minimum supported webpack version is v5.0.0 (#3342) (b1af0dc), closes #3342",,0
30,chore(deps-dev): bump webpack from 5.59.0 to 5.60.0 (#3017),0.6628094,"the minimum supported webpack version is v5.0.0 (#3342) (b1af0dc), closes #3342",,0
31,chore(deps): bump enquirer from 2.3.4 to 2.3.5 (#1429),0.57673675,5.1.1 (2023-05-09),"Bumps @typescript-eslint/eslint-plugin from 5.59.0 to 5.59.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@typescript-eslint/eslint-plugin""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
32,fix(add): apply suggestions,0.5503416,"Version 3.1.2 fixes minor bugs, readme fixes and various of small regressions. ","Bumps @types/node from 18.16.1 to 18.16.2. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
33,chore(deps-dev): bump webpack-bundle-analyzer,0.5907967,Note: Version bump only for package webpack-cli,Bumps webpack from 5.80.0 to 5.81.0. - Release notes - Commits  updated-dependencies: - dependency-name: webpack   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
34,chore(ci): Set up CI with Azure Pipelines,0.46135652,assign cache value for default configs (#2013) (d2e3c74),Bumps lint-staged from 13.2.1 to 13.2.2. - Release notes - Commits  updated-dependencies: - dependency-name: lint-staged   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
35,refactor(generators): remove extraneous args to addon-generator (#2674),0.4797983,"simplify logic, reduce extra loops and perf (#3767) (6afe1d3)","Bumps @types/node from 18.16.0 to 18.16.1. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
36,docs: better description for negated flags (#2158),0.737407,respect negatedDescription for flags from schema (#3102) (463b731),Bumps sass from 1.62.0 to 1.62.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: sass   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
