Index,Message,Description,Message Abstract,Description Abstract
1,Update CHANGELOG,,Update CHANGELOG,
2,Update app.php,,Update app.php,
3,Fix code styling,,Fix code styling,
4,Merge pull request #1415 from laravel/mes/ensure-base-configuration,Ensure base configuration is correct even if file already exists,Merge pull request #1415 from laravel/mes/ensure-base-configuration,Ensure base configuration is correct even if file already exists
5,Merge pull request #1414 from laravel/mes/allow-custom-drivers-to-extend-specific-drivers,Load specific drivers before custom drivers to allow for extension.,Merge pull request #1414 from laravel/mes/allow-custom-drivers-to-extend-specific-drivers,Load specific drivers before custom drivers to allow for extension.
6,Update CHANGELOG,,Update CHANGELOG,
7,Update app.php,,Update app.php,
8,Ensure base configuration is correct even if file already exists,,Ensure base configuration is correct even if file already exists,
9,Load specific drivers before custom drivers to allow for extension.,Co-Authored-By: Chris Brown code@drbyte.dev,Load specific drivers before custom drivers to allow for extension.,Co-Authored-By: Chris Brown code@drbyte.dev
10,Fix code styling,,Fix code styling,
11,Merge pull request #1411 from drbyte/install-via-alt-tap,Install older PHP versions via alternate tap,Merge pull request #1411 from drbyte/install-via-alt-tap,Install older PHP versions via alternate tap
12,Update CHANGELOG,,Update CHANGELOG,
13,Update app.php,,Update app.php,
14,Install older PHP versions via alternate tap,"Fixes #1407 Homebrew's support policy now aggressively disables older versions earlier than it did previously. That is why we tap the shivammathur/php repository. But since Homebrew also now ""keeps"" those old formulae but marks them as disabled, when Valet runs brew install php@7.4 it fails because Homebrew just aborts due to its flags in the outdated formula. (They mark it as ""disabled"" and/or ""keg_only :versioned_formula"", but don't actually delete the formula from their repository.) To override that we must use brew install shivammathur/php/php@7.4 internally. Therefore, we need to maintain a list of which PHP Versions we wish to specifically prefix with the shivammathur/php tap in order to bypass Homebrew's flags. ANNUAL MAINTENANCE 1. This PR adds the array of LIMITED_PHP_VERSIONS which we will have to update annually when new PHP versions are retired as others are released. 2. We should also annually update the LATEST_PHP_VERSION string.",Install older PHP versions via alternate tap,"Fixes #1407 Homebrew's support policy now aggressively disables older versions earlier than it did previously. That is why we tap the shivammathur/php repository. But since Homebrew also now ""keeps"" those old formulae but marks them as disabled, when Valet runs brew install php@7.4 it fails because Homebrew just aborts due to its flags in the outdated formula. (They mark it as ""disabled"" and/or ""keg_only :versioned_formula"", but don't actually delete the formula from their repository.) To override that we must use brew install shivammathur/php/php@7.4 internally. Therefore, we need to maintain a list of which PHP Versions we wish to specifically prefix with the shivammathur/php tap in order to bypass Homebrew's flags. ANNUAL MAINTENANCE 1. This PR adds the array of LIMITED_PHP_VERSIONS which we will have to update annually when new PHP versions are retired as others are released. 2. We should also annually update the LATEST_PHP_VERSION string."
15,Merge branch 'master' of github.com:laravel/valet,,Merge branch 'master' of github.com:laravel/valet,
16,Fix Radicle code style with Pint,,Fix Radicle code style with Pint,
17,Fix code styling,,Fix code styling,
18,Merge pull request #1413 from csorrentino/radicle-driver,Add driver for Radicle,Merge pull request #1413 from csorrentino/radicle-driver,Add driver for Radicle
19,fix namespacing,,fix namespacing,
20,Add driver for Radicle,,Add driver for Radicle,
21,Create RELEASE.md,,Create RELEASE.md,
22,Update CHANGELOG,,Update CHANGELOG,
23,Update app.php,,Update app.php,
24,Fix merge issue,,Fix merge issue,
25,Change flow,,Change flow,
26,Fix code styling,,Fix code styling,
27,Merge pull request #1398 from mischabraam/hotfix/read-non-existing-config-file,Fix read non existing config file,Merge pull request #1398 from mischabraam/hotfix/read-non-existing-config-file,Fix read non existing config file
28,Fix code styling,,Fix code styling,
29,Merge pull request #1404 from drbyte/ngrok3-fix-for-valet4,[v4] Fix ngrok.io proxy/forwarding detection,Merge pull request #1404 from drbyte/ngrok3-fix-for-valet4,[v4] Fix ngrok.io proxy/forwarding detection
30,[v4] Fix ngrok.io proxy/forwarding detection,"Fixes #1384 Since Valet 4 uses Ngrok v3, this change is needed to accommodate the change ngrok made:  In ngrok v3 the X-Original-Host header was replaced with the more standard X-Forwarded-Host to better align with web standards. More Info: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Forwarded-Host  Credit to @streamingsystems for doing the legwork. Co-authored-by: streamingsystems streamingsystems@users.noreply.github.com",[v4] Fix ngrok.io proxy/forwarding detection,"Fixes #1384 Since Valet 4 uses Ngrok v3, this change is needed to accommodate the change ngrok made: In ngrok v3 the X-Original-Host header was replaced with the more standard X-Forwarded-Host to better align with web standards. More Info: link Credit to @streamingsystems for doing the legwork. Co-authored-by: streamingsystems streamingsystems@users.noreply.github.com"
31,Update 1_Bug_report.yml,,Update 1_Bug_report.yml,
32,Update and rename 1_Bug_report.md to 1_Bug_report.yml,,Update and rename 1_Bug_report.md to 1_Bug_report.yml,
33,Fix read non existing config file,,Fix read non existing config file,
34,Update CHANGELOG.md,,Update CHANGELOG.md,
35,Update CHANGELOG,,Update CHANGELOG,
36,Bump to 4.0.1,,Bump to 4.0.1,
37,Merge pull request #1390 from ethanclevenger91/fix/1342,More robust check for Bedrock environments,Merge pull request #1390 from ethanclevenger91/fix/1342,More robust check for Bedrock environments
38,Correct function signature. Tests pass locally.,,Correct function signature. Tests pass locally.,
39,More robust check for Bedrock environments,,More robust check for Bedrock environments,
40,Merge pull request #1388 from fylzero/fix-local-valet-driver,Fixes Valet\Drivers\LocalValetDriver not found error,Merge pull request #1388 from fylzero/fix-local-valet-driver,Fixes Valet\Drivers\LocalValetDriver not found error
41,Fixes Valet\Drivers\LocalValetDriver not found error,,Fixes Valet\Drivers\LocalValetDriver not found error,
42,Bring back UPGRADE.md for now,,Bring back UPGRADE.md for now,
43,Update CHANGELOG,,Update CHANGELOG,
44,Drop upgrade doc,,Drop upgrade doc,
45,Clarify we need a Homebrew-managed version of ngrok.,Closes #1373,Clarify we need a Homebrew-managed version of ngrok.,Closes #1373
46,Skip printed warnings when parsing JSON from Homebrew,,Skip printed warnings when parsing JSON from Homebrew,
47,Merge branch 'master' of github.com:laravel/valet,,Merge branch 'master' of github.com:laravel/valet,
48,Check to make sure ngrok is configured correctly before sharing,,Check to make sure ngrok is configured correctly before sharing,
49,Fix code styling,,Fix code styling,
50,Add [y/N] to confirmation prompts,,Add [y/N] to confirmation prompts,
51,Link the upgrade guide for bad custom driver error,,Link the upgrade guide for bad custom driver error,
52,Add Expose note to upgrade guide,,Add Expose note to upgrade guide,
53,Add .valetrc notes to upgrade doc,,Add .valetrc notes to upgrade doc,
54,Merge branch 'master' of github.com:laravel/valet,,Merge branch 'master' of github.com:laravel/valet,
55,Update upgrad.md for beta testers,,Update upgrad.md for beta testers,
56,Rename upgrade.md to UPGRADE.md,,Rename upgrade.md to UPGRADE.md,
57,Update composer.json,,Update composer.json,
58,Merge pull request #1318 from laravel/version-4,Release Version 4,Merge pull request #1318 from laravel/version-4,Release Version 4
59,Handle fetch-share-url on users running a free Expose plan.,,Handle fetch-share-url on users running a free Expose plan.,
60,"Drop ""superfluous"" phpdoc tags (per Pint)",,"Drop ""superfluous"" phpdoc tags (per Pint)",
61,Catch up to #1370,,Catch up to #1370,
62,Merge pull request #1370 from laravel/mes/php-site-param,Update php and composer commands to allow passing in specific site,Merge pull request #1370 from laravel/mes/php-site-param,Update php and composer commands to allow passing in specific site
63,Update php and composer commands to allow passing in specific site,,Update php and composer commands to allow passing in specific site,
64,Merge branch 'master' into version-4,,Merge branch 'master' into version-4,
65,Fix code styling,,Fix code styling,
66,Update app.php,,Update app.php,
67,Add Pint locally and run it,,Add Pint locally and run it,
68,Merge Pint config,,Merge Pint config,
69,Merge pull request #1366 from laravel/pint,Use Pint for Code Styling,Merge pull request #1366 from laravel/pint,Use Pint for Code Styling
70,Update README.md,,Update README.md,
71,Update .gitattributes,,Update .gitattributes,
72,Update coding-standards.yml,,Update coding-standards.yml,
73,Update coding-standards.yml,,Update coding-standards.yml,
74,Update coding-standards.yml,,Update coding-standards.yml,
75,Update coding-standards.yml,,Update coding-standards.yml,
76,Fix code styling,,Fix code styling,
77,Implement Pint,,Implement Pint,
78,Delete .styleci.yml,,Delete .styleci.yml,
79,Merge branch 'master' into version-4,,Merge branch 'master' into version-4,
80,Catch up to #1360,,Catch up to #1360,
81,Merge pull request #1360 from joelbutcher/add-php-isolation-from-link-command,Add php isolation from link command,Merge pull request #1360 from joelbutcher/add-php-isolation-from-link-command,Add php isolation from link command
82,Drop errant notice about a found .valetphprc file,,Drop errant notice about a found .valetphprc file,
83,Merge branch 'master' into version-4,,Merge branch 'master' into version-4,
84,Merge pull request #1365 from laravel/mes/update-1361,Update version-4 to include #1361,Merge pull request #1365 from laravel/mes/update-1361,Update version-4 to include #1361
85,Bring #1361 into version-4,,Bring #1361 into version-4,
86,Merge pull request #1364 from laravel/mes/unsecure-when-unlinking,Unsecure when unlinking,Merge pull request #1364 from laravel/mes/unsecure-when-unlinking,Unsecure when unlinking
87,"Update unlink command to also unsecure, if necessary",,"Update unlink command to also unsecure, if necessary",
88,Merge pull request #1361 from laravel/mes/use-commands-read-cwd,"Update phpRc reader to check cwd before checking config, if cwd specified",Merge pull request #1361 from laravel/mes/use-commands-read-cwd,"Update phpRc reader to check cwd before checking config, if cwd specified"
89,Apply fixes from StyleCI,,Apply fixes from StyleCI,
90,"Handle old, customized sample valet drivers more gracefully",,"Handle old, customized sample valet drivers more gracefully",
91,Merge,,Merge,
92,Apply fixes from StyleCI,,Apply fixes from StyleCI,
93,Bring in changes to mirror #1358,,Bring in changes to mirror #1358,
94,Apply fixes from StyleCI,,Apply fixes from StyleCI,
95,Merge,,Merge,
96,Refactor local network address for Valet 4's Server class,,Refactor local network address for Valet 4's Server class,
97,Apply fixes from StyleCI,,Apply fixes from StyleCI,
98,Merge branch 'version-4' of github.com:laravel/valet into version-4,,Merge branch 'version-4' of github.com:laravel/valet into version-4,
99,Bring in changes to mirror #1284,,Bring in changes to mirror #1284,
100,Apply fixes from StyleCI,,Apply fixes from StyleCI,
101,Bring in changes to mirror #1356,,Bring in changes to mirror #1356,
102,Fix prioritization in phpRcVersion,,Fix prioritization in phpRcVersion,
103,Apply fixes from StyleCI,,Apply fixes from StyleCI,
104,"Update phpRc reader to check cwd before checking config, if cwd specified",,"Update phpRc reader to check cwd before checking config, if cwd specified",
105,Merge pull request #1358 from laravel/mes/remove-ca-on-uninstall,Remove Valet Certificate Authority on uninstall,Merge pull request #1358 from laravel/mes/remove-ca-on-uninstall,Remove Valet Certificate Authority on uninstall
106,Update CHANGELOG,,Update CHANGELOG,
107,Update app.php,,Update app.php,
108,update command,,update command,
109,add --phpVersion option to valet link command,,add --phpVersion option to valet link command,
110,Apply fixes from StyleCI,,Apply fixes from StyleCI,
111,Refactor removeCa,,Refactor removeCa,
112,Remove Valet Certificate Authority on uninstall,,Remove Valet Certificate Authority on uninstall,
113,wip upgrade.md,,wip upgrade.md,
114,Merge pull request #1284 from thinkverse/fix-local-network-sharing,Enable local network sharing,Merge pull request #1284 from thinkverse/fix-local-network-sharing,Enable local network sharing
115,Update CHANGELOG,,Update CHANGELOG,
116,version,,version,
117,Make 127.0.0.1 SERVER_ADDR definition only if null (#1356),,Make 127.0.0.1 SERVER_ADDR definition only if null (#1356),
118,Implement valet fetch-share-url when working with Expose (#1349),  Flesh out Expose currentTunnelUrl method   Apply fixes from StyleCI   Prep for requiring a certain version of Expose   Don't call installed() before installedVersion() in Composer   Co-authored-by: StyleCI Bot bot@styleci.io,Implement valet fetch-share-url when working with Expose (#1349),Flesh out Expose currentTunnelUrl method Apply fixes from StyleCI Prep for requiring a certain version of Expose Don't call installed() before installedVersion() in Composer Co-authored-by: StyleCI Bot bot@styleci.io
119,Check whether services are running as the correct user in valet status (#1348),,Check whether services are running as the correct user in valet status (#1348),
120,Merge branch 'master' into version-4,,Merge branch 'master' into version-4,
121,Add support for .valetrc (#1347),  Add .valetrc support   Apply fixes from StyleCI   wip   Co-authored-by: StyleCI Bot bot@styleci.io,Add support for .valetrc (#1347),Add .valetrc support Apply fixes from StyleCI wip Co-authored-by: StyleCI Bot bot@styleci.io
122,Apply fixes from StyleCI,,Apply fixes from StyleCI,
123,"Drop PHP 7.0, and update Magento driver to support PHP 7.3",,"Drop PHP 7.0, and update Magento driver to support PHP 7.3",
124,Support PHP 7.0+ (#1346), Get PHP executable for a PHP 8+ version even if linked PHP is below 8  This allows users to run PHP 7.4 (haven't tested in below 7.4) while the codebase is PHP 8+.   Apply fixes from StyleCI   Return correct path for linked PHP   Apply fixes from StyleCI   Add PHP@7.2 support   Add support for PHP 7.0-7.2   Co-authored-by: StyleCI Bot bot@styleci.io,Support PHP 7.0+ (#1346),Get PHP executable for a PHP 8+ version even if linked PHP is below 8 This allows users to run PHP 7.4 (haven't tested in below 7.4) while the codebase is PHP 8+. Apply fixes from StyleCI Return correct path for linked PHP Apply fixes from StyleCI Add PHP@7.2 support Add support for PHP 7.0-7.2 Co-authored-by: StyleCI Bot bot@styleci.io
125,Update CHANGELOG,,Update CHANGELOG,
126,Update app.php,,Update app.php,
127,Update composer.json (#1341),,Update composer.json (#1341),
128,Add the ability for drivers to check Composer dependencies (#1345),,Add the ability for drivers to check Composer dependencies (#1345),
