Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Merge pull request #45 from DirtyF/editorconfig,0.464302,Consolidate trigger SVG paths (#148),,0
2,Update README documentation (#381),0.6543846,Update README with theme content description (#91),Merge pull request 719,0
3,fix(css): prevent site title from getting covered by hamburger menu (#179),0.49614638,add header_pages config to link only specific files in header (#52),,0
4,Vertical align,0.4560421,$table-text-align: left !default;,Merge pull request 714,0
5,Merge pull request #37 from DirtyF/patch-1,0.4772637,Remove the Rakefile (#118),,0
6,Add missing hyphen (#232),0.40758967,Corrected misspelled word (#72),Merge pull request 713,0
7,remove redundant entries in gemspec,0.55205405,Fix gemspec regex (#31),,0
8,Set the border-radius of .highlight (#426),0.38257197,Document how to customize navigation links (#192),Merge pull request 690,0
9,Update history to reflect merge of #199 [ci skip],0.58165175,Reintroduce removed social includes for backwards compatibility (#217),,0
10,Scale headings relative to base-font-size (#78),1.0,Scale headings relative to base-font-size (#78),Merge pull request 703,1
11,chore(deps): bump Ruby version (#510),0.5888449,Test build with Ruby 2.4 on CI (#184),,0
12,Add relative_url for link to feed.xml,0.5278584,Use  new absolute_url and relative_url filters in minima (#57),Merge pull request 700,0
13,add jekyll-seo-tag dependency,0.9606935,Add jekyll-seo-tag dependency (#139),,1
14,Add rel=me attributes to social links (#386),0.7089174,Add more social links (#141),Merge pull request 698,1
15,add *.gem to .gitignore,0.47028363,Update gem regex to include new assets directory (#54),,0
16,priority to site.url when site.github.url is available in index.html,0.89885074,priority to site.url when site.github.url is available (#46),Merge pull request 686,1
17,Update history to reflect merge of #690 [ci skip],0.5159521,Remove incomplete status from spec summary (#63),,0
18,Update history to reflect merge of #26,0.5303345,Reintroduce removed social includes for backwards compatibility (#217),Merge pull request 677,0
19,Fix example header_pages in config,0.71555257,add header_pages config to link only specific files in header (#52),,1
20,chore (ci): remove deprecated sudo: false in .travis.yml (#347),0.49598783,Remove the Rakefile (#118),Merge pull request 636,0
21,Update history to reflect merge of #703 [ci skip],0.53063774,Remove incomplete status from spec summary (#63),,0
22,Update history to reflect merge of #443 [ci skip],0.5349241,Reintroduce removed social includes for backwards compatibility (#217),Merge pull request 673,0
23,Update history to reflect merge of #455 [ci skip],0.506582,Remove incomplete status from spec summary (#63),,0
24,Update history to reflect merge of #22,0.5797381,Reintroduce removed social includes for backwards compatibility (#217),Merge pull request 634,0
25,add header_pages config to link only specific files in header,0.96836305,add header_pages config to link only specific files in header (#52),,1
26,reorder history for 1.1.0,0.4589886,Reintroduce removed social includes for backwards compatibility (#217),Merge pull request 538,0
27,Update README with theme content description (#91),1.0,Update README with theme content description (#91),,1
28,Reduce spacing in the three largest headers (#538),0.722434,Scale headings relative to base-font-size (#78),Merge pull request 594,1
29,update README to mention about assets/ dir,0.570412,Update README with theme content description (#91),,0
30,Bigger font-size for h1 in posts (#273),0.64423656,Scale headings relative to base-font-size (#78),Merge pull request 657,0
31,Use rss title in config for social link,0.5875026,Add more social links (#141),,0
32,spell out dirs,0.36845478,sass,Merge pull request 654,0
33,add .editorconfig,0.49404266,Update config description comment (#203),,0
34,Merge pull request #22 from Lorthirk/author-in-footer,0.4672431,Add 404 page from jekyll master (#121),Merge pull request 633,0
35,Merge pull request #189 from AndrewJudson/ajudson/fix_readme,0.4364913,Add jekyll-seo-tag dependency (#139),,0
36,Trigger demo-site build manually (#714),0.5152037,Demo minima on GitHub Pages (#76),Merge pull request 627,0
37,README update re Disqus (#284),0.62151337,Update README with theme content description (#91),"Added target=""_blank"" to all social links to avoid taking visitors away from the client's website. Signed-off-by: Matt Rogers codemattr@gmail.com Co-authored-by: Yaroslav Shmarov yshmarov@gmail.com",0
38,Reindent layout (#194),0.4666488,Add default table styles (#144),,0
39,GA related in README.md,0.44142473,Improve thw wording in index.md (#175),Merge pull request 610,0
40,Add Microformats markup to posts and home.,0.76512885,Add Microformats markup (#160),,1
41,Add Telegram to social (#297),0.6152147,Adding Mastodon to the social networks (#198),Merge pull request 596,0
42,Remove comments added by Disqus' sample code,0.5455252,Add support to Disqus (#21),,0
43,Merge branch 'master' of link into ryeonho-master,0.35724175,Add jekyll-seo-tag dependency (#139),Merge pull request 609,0
44,Add adaptive skin: solarized (#594),0.35658252,Minor enhancements,Add a basic workflow file for building minima,0
45,Update history to reflect merge of #88 [ci skip],0.51130843,Reintroduce removed social includes for backwards compatibility (#217),This will replace the travis CI configuration,0
46,Merge pull request #46 from oncleben31/fix-first-install-with-github-pages-gem,0.4248587,priority to site.url when site.github.url is available (#46),Added system-ui as a cross-platform default font,0
47,Add support for micro.blog social media (#267),0.61946785,Add more social links (#141),,0
48,Update history to reflect merge of #78 [ci skip],0.5337975,Remove incomplete status from spec summary (#63),,0
49,Update history to reflect merge of #452 [ci skip],0.51948476,Reintroduce removed social includes for backwards compatibility (#217),,0
50,Add auto skin which honors the prefers-color-scheme media query (#634),0.4240139,Add default table styles (#144),Merge pull request 535,0
51,Fix responsiveness of social SVG sprites (#677),0.5886679,Consolidate trigger SVG paths (#148),,0
52,Update History.markdown (#399),0.5502306,Update Example to resemble Default site (#24),Merge pull request 510,0
53,Improve thw wording in index.md (#175),1.0000002,Improve thw wording in index.md (#175),,1
54,Remove old svg,0.5749773,Consolidate trigger SVG paths (#148),Merge pull request 335,0
55,Drop Stackoverflow since username problems,0.34195685,Remove the Rakefile (#118),,0
56,Merge pull request #21 from nicholaspufal/add-disqus-support,0.6320456,Add support to Disqus (#21),Merge pull request 452,0
57,Merge pull request #229 from jekyll/pull/release-2.5.0,0.5519176,Add jekyll-seo-tag dependency (#139),,0
58,Update history to reflect merge of #713 [ci skip],0.5420345,Reintroduce removed social includes for backwards compatibility (#217),Merge pull request 485,0
59,Remove email icon,0.45609546,Remove 2.0 post-install message (#82),,0
60,Update history to reflect merge of #399 [ci skip],0.56417716,Reintroduce removed social includes for backwards compatibility (#217),Merge pull request 481,0
61,fix: make page.list_title optional (#303),0.6476738,Docs: clarification about page title (#142),,0
62,Correct typo in config file (#385),0.44570768,Update config description comment (#203),Merge pull request 480,0
63,Add a disclaimer to the README (#343),0.5417204,Update README with theme content description (#91),,0
64,Add YouTube channel to social (#292),0.6042315,Add more social links (#141),Merge pull request 479,0
65,Note that it's not ready.,0.29551226,Development Fixes,Improve customizability of the theme,0
66,Merge pull request #48 from jekyll/home-layout,0.57180214,Add 404 page from jekyll master (#121),,0
67,Hide nav toggle if nav is empty. (#289),0.45463914,Document how to customize navigation links (#192),Merge pull request 475,0
68,Ignore .jekyll-cache (#439),0.6456931,Allow use and testing with Jekyll 4.x (#398),,0
69,Update history to reflect merge of #441 [ci skip],0.53978944,Reintroduce removed social includes for backwards compatibility (#217),Merge pull request 470,0
70,Move links to social.html,0.70255554,Add more social links (#141),,1
71,Rename default layout to base (#690),0.5930941,Add default table styles (#144),Merge pull request 468,0
72,Generate social iconsheet during build (#686),0.5650245,social icons should resolve baseurl properly (#201),Co-authored-by: Joel Glovier 1319791+jglovier@users.noreply.github.com,0
