Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Remove implicit form method calls (#290),0.36612144,React - Simplify Form Handler by @jessarcher in link,,0
Update CHANGELOG,0.4525049,Update versions (aa90bfd),,0
Apply fixes from StyleCI,0.39992177,Style improvements by @jessarcher in link,,0
Migrate to modules (#246),0.75113016,Migrate to modules by @timacdonald in link,,1
update config file,0.48563537,Update Tailwind config (de0cbf4),,0
Remove redundant form data in vue stub (#280),0.8976044,Remove redundant form data in vue stub by @datlechin in link,,1
Update 1_Bug_report.yml,0.428123,Fix password-update pest tests by @mtvbrianking in link,,0
Update and rename 1_Bug_report.md to 1_Bug_report.yml,0.35637194,Fix password-update pest tests by @mtvbrianking in link,,0
[1.x] Fix Pest test installation for Inertia stack (#279),0.9198923,Fix Pest test installation for Inertia stack by @jessarcher in link,Fix installation of Inertia-specific Pest tests Add missing failure handler,1
Update current_password rule in ProfileController (#278),0.86724734,Update current_password rule in ProfileController by @saade in link,update current_password rule update current_password rule in inertia controller,1
Fix ref in react TextInput (#277),0.90637994,Fix ref in react TextInput by @denis-n-ko in link,Fix ref in react TextInput,1
[1.x] Uses Pest 2 (#274),0.7073825,Uses Pest 2 by @nunomaduro in link,Uses Pest 2 Updates CI to use L10 only Fixes unit stub,1
wip,0.26771927,﻿,,0
[1.x] Add opt-in TypeScript support (#267),0.83586687,Add opt-in TypeScript support by @jessarcher in link,Add opt-in TypeScript support Test TypeScript option in CI Replace {} type with something safer Update to TypeScript 5.0 Switch to new bundler moduleResolution Fix Vue Modal maxWidth prop type Update InstallsInertiaStacks.php formatting Co-authored-by: Taylor Otwell taylor@laravel.com,1
Fix password-update pest tests (#273),0.9038266,Fix password-update pest tests by @mtvbrianking in link,Fix password update pest tests Update PasswordUpdateTest.php Co-authored-by: Taylor Otwell taylor@laravel.com,1
[1.x] React - Simplify Form Handler (#268),0.8241868,React - Simplify Form Handler by @jessarcher in link,Remove handleOnChange functions Fix default state of login remember checkbox,1
Fix input focus on update password error (#269),0.71689546,React - Fix input focusing when password update fails by @jessarcher in link,,1
Remove unnecessary text input wrapper (#270),0.673292,React - Remove unnecessary text input wrapper by @jessarcher in link,,0
Fix undefined class (#271),0.6050706,"React - Fix potential ""undefined"" class by @jessarcher in link",,0
[1.x] Prop consistency (#272),0.7483036,Prop consistency by @jessarcher in link,Mark Checkbox checked prop as required Remove unnecessary props Improve prop definition consistency Pass user object directly to authenticated layout Destructure all used props Formatting,1
Adds type checking (#265),0.4362659,Uses PHP Native Type Declarations 🐘  by @nunomaduro in link,,0
remove unused function arguments in params (#264),0.52062917,API Stub EnsureEmailIsVerified Middleware: Remove unused function arguments in params by @raksbisht in link,,0
Fix wrong field Id in ForgotPassword.jsx (#262),0.8902145,Fix input field Id in ForgotPassword.jsx by @tomdupont in link,,1
Laravel adjust wording (#259),0.56401104,Update inertia-laravel by @timacdonald in link,,0
[1.x] Improve React components (#257),0.78021324,Improve React components by @jessarcher in link,Improve component props Update usage of components Prevent adding an undefined class when no className is provided,1
Update tests.yml,0.322093,Fix namespace in PasswordUpdateTest.php by @irsyadadl in link,,0
[1.x] Update font and welcome page (#253),0.7504312,Update font and welcome page by @jessarcher in link,Update font and welcome page Update text to match skeleton,1
remove unused files from stubs (#255),0.83072215,Remove unused files from stubs by @emargareten in link,,1
Allowed a hardcoded string to be localized (#254),0.7737378,Allowed a hardcoded string to be localized by @Wendelstein7 in link,,1
[1.x] Allows to install --pest in Laravel 10 (#251),0.93788815,Allows to install --pest in Laravel 10 by @driesvints in link,Fail command when pest fails to install Apply fixes from StyleCI wip Adapts Laravel 10 pest installation Fixes syntax error Fixes array usage adjusts default argument Update InstallCommand.php Update InstallCommand.php fix command Co-authored-by: StyleCI Bot bot@styleci.io Co-authored-by: Nuno Maduro enunomaduro@gmail.com Co-authored-by: Taylor Otwell taylor@laravel.com,1
Add translation to placeholder in delete-user-form.blade.php (#250),0.9543959,Add translation to placeholder in delete-user-form.blade.php by @castrohenworx in link,,1
remove specifying unnecessary __invoke method (#249),0.37334102,Don't mix __() and trans() in the same file by @hailwood in link,,0
fix: use autocomplete for all fields to ensure password manager compatibility (#245),0.84828836,Use autocomplete for all fields for password manager compatibility by @lukearmstrong in link,,1
Update tests.yml (#243),0.34602267,Fix password-update pest tests by @mtvbrianking in link,,0
add message,0.3635549,Add email (username) autocomplete (#51),,0
Inform user of dependency install process (#241),0.74470234,Inform user of dependency install process by @itxshakil in link,Inform user of dependency install process It informs the user that we are installing node dependencies. It would justify the blank delay screen while installing node dependencies. Update InstallsBladeStack.php Co-authored-by: Taylor Otwell taylor@laravel.com,1
Update nav menu dark text to be consistent with nav link (#239),0.96481144,Update nav menu dark text to be consistent with nav link by @RhysLees in link,,1
[1.x] Inertia v1 (#238),0.7632755,Inertia Stack (#44)),Update dependencies Rename imports Update progress usage Update setup arguments Remove .value from Vue usePage() Update Vite ssr.noExternal setting Update to Inertia 1.0 Update Inertia Laravel package Remove creation of Inertia config on SSR install This is no longer required as Inertia will automatically detect SSR. Remove ssr.noExternal from Vite config This doesn't seem to be required any longer. Remove unused import Pass empty object to useForm,1
