Index,Release Note,Release Note With Abstraction
1,"
Migrate to modules by @timacdonald in https://github.com/laravel/breeze/pull/246
",Migrate to modules by @timacdonald in link
2,"
Remove redundant form data in vue stub by @datlechin in https://github.com/laravel/breeze/pull/280
Add Sanctum Guard by @taylorotwell in https://github.com/laravel/breeze/commit/b010ff3f8cd8e9ae2a2023ca323fba9987157f60
","Remove redundant form data in vue stub by @datlechin in link
Add Sanctum Guard by @taylorotwell in link"
3,"
Fix ref in react TextInput by @denis-n-ko in https://github.com/laravel/breeze/pull/277
Update current_password rule in ProfileController by @saade in https://github.com/laravel/breeze/pull/278
Fix Pest test installation for Inertia stack by @jessarcher in https://github.com/laravel/breeze/pull/279
","Fix ref in react TextInput by @denis-n-ko in link
Update current_password rule in ProfileController by @saade in link
Fix Pest test installation for Inertia stack by @jessarcher in link"
4,"
Add opt-in TypeScript support by @jessarcher in https://github.com/laravel/breeze/pull/267
Uses Pest 2 by @nunomaduro in https://github.com/laravel/breeze/pull/274
API Stub EnsureEmailIsVerified Middleware: Remove unused function arguments in params by @raksbisht in https://github.com/laravel/breeze/pull/264
Prop consistency by @jessarcher in https://github.com/laravel/breeze/pull/272
React - Fix potential ""undefined"" class by @jessarcher in https://github.com/laravel/breeze/pull/271
React - Remove unnecessary text input wrapper by @jessarcher in https://github.com/laravel/breeze/pull/270
React - Fix input focusing when password update fails by @jessarcher in https://github.com/laravel/breeze/pull/269
React - Simplify Form Handler by @jessarcher in https://github.com/laravel/breeze/pull/268
Fix password-update pest tests by @mtvbrianking in https://github.com/laravel/breeze/pull/273
","Add opt-in TypeScript support by @jessarcher in link
Uses Pest 2 by @nunomaduro in link
API Stub EnsureEmailIsVerified Middleware: Remove unused function arguments in params by @raksbisht in link
Prop consistency by @jessarcher in link
React - Fix potential ""undefined"" class by @jessarcher in link
React - Remove unnecessary text input wrapper by @jessarcher in link
React - Fix input focusing when password update fails by @jessarcher in link
React - Simplify Form Handler by @jessarcher in link
Fix password-update pest tests by @mtvbrianking in link"
5,"
Improve React components by @jessarcher in https://github.com/laravel/breeze/pull/257
Fix input field Id in ForgotPassword.jsx by @tomdupont in https://github.com/laravel/breeze/pull/262
","Improve React components by @jessarcher in link
Fix input field Id in ForgotPassword.jsx by @tomdupont in link"
6,"Changed

Remove link
","Changed
Remove link"
7,"Changed

Clean up route definition for Single Action Controllers by @istiak-tridip in https://github.com/laravel/breeze/pull/249
Add translation to placeholder in delete-user-form.blade.php by @castrohenworx in https://github.com/laravel/breeze/pull/250
Allowed a hardcoded string to be localized by @Wendelstein7 in https://github.com/laravel/breeze/pull/254
Update font and welcome page by @jessarcher in https://github.com/laravel/breeze/pull/253

Fixed

Allows to install --pest in Laravel 10 by @driesvints in https://github.com/laravel/breeze/pull/251

Removed

Remove unused files from stubs by @emargareten in https://github.com/laravel/breeze/pull/255
","Changed
Clean up route definition for Single Action Controllers by @istiak-tridip in link
Add translation to placeholder in delete-user-form.blade.php by @castrohenworx in link
Allowed a hardcoded string to be localized by @Wendelstein7 in link
Update font and welcome page by @jessarcher in link
Fixed
Allows to install --pest in Laravel 10 by @driesvints in link
Removed
Remove unused files from stubs by @emargareten in link"
8,"Changed

Use autocomplete for all fields for password manager compatibility by @lukearmstrong in https://github.com/laravel/breeze/pull/245
","Changed
Use autocomplete for all fields for password manager compatibility by @lukearmstrong in link"
9,"Changed

Inform user of dependency install process by @itxshakil in https://github.com/laravel/breeze/pull/241

Fixed

Update nav menu dark text to be consistent with nav link by @RhysLees in https://github.com/laravel/breeze/pull/239
","Changed
Inform user of dependency install process by @itxshakil in link
Fixed
Update nav menu dark text to be consistent with nav link by @RhysLees in link"
10,"Added

Laravel v10 Support by @driesvints in https://github.com/laravel/breeze/pull/235
Inertia v1 Support by @jessarcher in https://github.com/laravel/breeze/pull/238

Changed

Prompt when the stack argument is not provided by @jessarcher in https://github.com/laravel/breeze/pull/236
Use Illuminate console components for prompting by @jessarcher in https://github.com/laravel/breeze/pull/237
","Added
Laravel v10 Support by @driesvints in link
Inertia v1 Support by @jessarcher in link
Changed
Prompt when the stack argument is not provided by @jessarcher in link
Use Illuminate console components for prompting by @jessarcher in link"
