Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,move readme to docs folder because SEO,0.46604154,"docs/usage - replace ""below"" with correct link (#280)",,0
2,"require html-proofer, not html/proofer",0.82650495,Developer: Validate HTML output via html-proofer,,1
3,Make Twitter card without having Twitter account (#284),0.93075114,Make Twitter Summary Card without having Twitter account (#284),,1
4,Merge pull request #34 from benbalter/default-to-post-excerpt,0.45010635,Use page.excerpt if the page.description doesn't exist (#34),Merge pull request 466,0
5,use reduce to format strings,0.6411337,Simplify minify regex (#125),,0
6,Merge pull request #241 from jekyll/pull/rubocop-update,0.553499,Fix for uninitiated constant Jekyll::SeoTag::VERSION error,Merge pull request 464,0
7,Implement PR #103 for my own use. Change template to better fit existing style.,0.52519166,"Style fixes (#170, #157, #149)",,0
8,DRY up JSON-LD,0.74304444,Use jsonify to output url in JSON-LD for consistency,Merge pull request 462,1
9,Bump RuboCop to v1.18.x (#452),1.0,Bump RuboCop to v1.18.x (#452),,1
10,Merge pull request #57 from boturnbow/master,0.46021745,refactor: mutate site payload instead of duplicating it (#419),Merge pull request 459,0
11,Drop#image should return nil if there is no image#path in order to avoid a breaking change,0.5510807,Fix for image.path causing an invalid url error #228,,0
12,allow image to be an object,0.5778074,Add front matter default example for image (#132),,0
13,Correct spelling in .travis.yml,0.94934046,Correct spelling in .travis.yml (#112),Merge pull request 458,1
14,Update history to reflect merge of #148 [ci skip],0.51306224,refactor: mutate site payload instead of duplicating it (#419),,0
15,Update history to reflect merge of #351 [ci skip],0.5192368,refactor: mutate site payload instead of duplicating it (#419),,0
16,Merge pull request #56 from benbalter/pr/and-or,0.3829112,Ability to disable  tag (props @pathawks),,0
17,Merge pull request #52 from benbalter/bb/global-author,0.48782688,Support for global author data (props @pathawks),Merge pull request 454,0
18,moar tests,0.57966375,Improved automated tests,,0
19,Fix language mistake,0.5573667,Rectify error in Usage documentation (#328),Merge pull request 438,0
20,Merge pull request #67 from jekyll/pr/use_current_version,0.58452964,Changed: Requires Jekyll 3.1.x,,0
21,Update for #227,0.5310257,Update url of schema website (#296),Merge pull request 455,0
22,use the page.excerpt if the page.description doesn't exist,0.9478505,Use page.excerpt if the page.description doesn't exist (#34),,1
23,add spec for filters class,0.65422314,Add default filter to simplify logic (#36),Merge pull request 391,0
24,Switching to site.lang & page.lang to align with jekyll-feed,0.5526111,Changed: Requires Jekyll 3.1.x,,0
25,Merge pull request #123 from jekyll/pr/newfilters,0.5256671,Changed: Requires Jekyll 3.1.x,Merge pull request 453,0
26,Update history to reflect merge of #459 [ci skip],0.5330225,refactor: mutate site payload instead of duplicating it (#419),,0
27,Update history to reflect merge of #211,0.49709743,refactor: mutate site payload instead of duplicating it (#419),,0
28,fix for image.path causing an invalid url error,0.950675,Fix for image.path causing an invalid url error #228,,1
29,Travis doesn't like my timestamps for testing.,0.37992385,Correct spelling in .travis.yml (#112),Merge pull request 452,0
30,Update history to reflect merge of #181 [ci skip],0.50709414,refactor: mutate site payload instead of duplicating it (#419),Set ruby_version via strategy.matrix. Migrate to ruby/setup-ruby action. Use double-quoted strings consistently.,0
31,addressed feedback,0.4025187,Rectify error in Usage documentation (#328),,0
32,Update history to reflect merge of #455 [ci skip],0.52796745,refactor: mutate site payload instead of duplicating it (#419),Merge pull request 450,0
33,Fix HTML5 validation error,0.84190154,"Fix HTML5 validation errors (#38, props @CGarces)",,1
34,Stop profiling memory when Jekyll 3.x,0.66197413,Changed: Requires Jekyll 3.1.x,Merge pull request 449,0
35,add anchor.js,0.5203771,Prepend site URL to JSON-LD image property (props @boturnbow),,0
36,Merge branch 'master' into master,0.28877676,refactor: Mutate hash literals instead of duplicating them (#417),Merge pull request 427,0
37,Update history to reflect merge of #464 [ci skip],0.51100826,refactor: mutate site payload instead of duplicating it (#419),,0
38,Update third-party repo profile workflow config,0.5101465,chore(ci): profile seo-tag plugin on a third-party repository (#414),,0
39,Update history to reflect merge of #388 [ci skip],0.5106313,refactor: mutate site payload instead of duplicating it (#419),,0
40,chore(dev): simplify require for version,0.5560765,chore(deps): require Ruby > 2.4.0 EOL,Merge pull request 419,0
