Index,Release Note
1,"0.11.0 (February 16, 2023)
FEATURES:

server: Add pagination protobuffs and stubs for pagination in ListProjects [link]

IMPROVEMENTS:

cli: module now outputs additional insights
when trying to cancel a running job. [link]
cli: add socket-path flag to runner install [link]
core: module will now retrieve paginated list of jobs to avoid
grpc data limits per request [link]
core: improve runner job stream error logging [link]
install/nomad: Allow mount options to be specified when provisioning a volume with CSI plugins [link]
plugin/aws: Add CORS configuration to lambda-function-url releaser [link]
plugin/tfc: Allow non-string tfc outputs to be used as waypoint.hcl dynamic default variables [link]
plugin/tfc: Allow reading all outputs from a tfc workspace with a single variable stanza [link]
plugins/k8s: Add module option to only prune specific resources [link]
plugins/k8s: Add module to the TaskLauncherConfig (on-demand runner configuration) [link]
server: Add UI_GetDeployment convenience endpoint [link]
server: Enable gRPC-Gateway on the http port of Waypoint server to add in an HTTP API for interfacing [link]

BUG FIXES:

aws/lambda: fix issue where deployment configuration was not injected in to
Lambda function environments, preventing waypoint-entrypoint from authenticating
with the Waypoint server [link]
cli/snapshot: Fix server snapshot when a config source is set. [link]
cli: Fix panic in module and module where
a pipeline run was given with no jobs. [link]
cli: Show full command flags when displaying help text for module. [link]
install/nomad: Fix connectivity to Waypoint server from the CLI at the end of
the Nomad server install. [link]
plugin/aws-ecs: Fix bringing your own alb to ecs deployments. [link]
plugin/k8s-apply: Update the module param to match the updated parameter
in kubectl apply, module. It also ensures this param in the plugin
is optional and not a hard requirement to use the k8s apply plugin. [link]
ui: fix safari bug with xterm/webgl rendering [link]
upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or
deleted. [link]
"
2,"0.10.5 (December 15, 2022)
SECURITY:
* Waypoint now uses Go 1.19.4 to address security vulnerability (CVE-2022-41717) See the Go announcement for more details.
IMPROVEMENTS:

cli: Respect module overrides for submitted job template when running
  module. [link]
config: Remove the multi-app deprecation warning.
  Please see https://discuss.hashicorp.com/t/deprecating-projects-or-how-i-learned-to-love-apps/40888/12 for more information. [link]

BUG FIXES:

plugin/ecs: module now creates aws policies to facilitate remotely running StopTask and WatchTask jobs [link]
"
3,"0.10.4 (December 08, 2022)
FEATURES:

plugin/ecs: Accept ALB security group IDs. [link]
plugin/packer: A Packer config sourcer plugin to source machine image IDs from
  an HCP Packer channel. [link]

IMPROVEMENTS:

cli/runnerinstall: Check if runner is registered to the server before
  attempting to forget it. [link]
cli/runnerinstall: Delete EFS file system during ECS runner uninstall. [link]
cli: module requires the module or module flag regardless of where it's run. [link]
cli: Pipeline run now shows the number of steps successfully executed for a failed run. [link]

BUG FIXES:

cli/context: Fix possible error when listing contexts if a non-Waypoint context file exists in the context directory. [link]
cli: Ensure a deploy and release URL has a scheme included if not set. [link]
cli: module now successfully destroys a project created in the UI without a remote source or local waypoint.hcl file. [link]
plugin/nomad: Update Nomad task launcher plugin to use module config - fixes
  pipeline exec steps run in Nomad. [link]
plugin/vault: Fix usage of dynamic secrets from Vault for dynamic Waypoint app
  config. [link]
"
4,"0.10.3 (November 03, 2022)
FEATURES:

plugin/consul: Consul key-value data config sourcer plugin [link]

IMPROVEMENTS:

cli/config-sync: Add operations flags to module command. [link]
cli/fmt: Add a module flag that will determine if the module is already
properly formatted, similar to module. [link]
cli/pipeline_run: Show app deployment and release URLs if exist from running
pipeline. Also show input variables used. [link]
cli: Add prune flags to module for configuring the automatic release. [link]
cli: Introduce new CLI flag module for module which will stream
an existing pipeline run either by the latest known run or a specific sequence id. [link]
cli: Only echo file name when config file is formatted with module. [link]
cli: Update module to show default runner profile
if no name argument supplied. [link]
core: Auto run a status report after a deployment or release operation rather
than only if module or module CLI is run. [link]
core: Combine git clone messages from job stream into a single message [link]
pipelines: Add ability to evaluate input variables in pipelines stanzas. [link]
ui/input-variables: Adds the ability to set an input variable as sensitive and hides its value from the list and form [link]

BUG FIXES:

cli/runner-profile-set: Fix panic when setting runner profile environment variables [link]
cli/upgrade: Update the OCI URL for the bootstrap runner profile during module [link]
cli: Fix bug where input variables were not included on pipeline run jobs. [link]
cli: Fix panic in module when no flags are specified. [link]
cli: Fix panic in cli for module if attempting to cancel by run
job id with no argument. [link]
cli: Only show ""CompleteTime"" on module if the job has a valid
complete time. [link]
cli: Remove automatic uppercasing of ids, so that future runner profiles will match [link]
cli: Respect the -workspace flag when requesting a logstream for a deployment
by workspace [link]
core: Fix panic if no Use stanza found for given workspace scope on a build,
deploy, release, or registry stanza. [link]
core: fix panic when null value is set on a string variable [link]
install/nomad: Update installation with Nomad to use CSI parameters. [link]
pipelines: Properly mark a pipeline run as complete [link]
plugin/docker: fix issue with authenticating with registries when using
docker-pull [link]
"
5,"0.10.2 (October 03, 2022)
BREAKING CHANGES:

plugin/helm: Add support for create_namespace and skip_crds (default is now false) [link]

IMPROVEMENTS:

cli/runnerinstall: Update module to set the new profile as the default
if none exists [link]
cli: A new module flag has been added to module to allow users to specify targeting any runner. [link]
cli: Setting configurations in a runner profile no longer resets unspecified configuration [link]
plugin/ecs: Implement WatchTask plugin for AWS ECS task launcher. Store ECS on-demand runner logs in the job system. [link]
plugin/docker: Add new module plugin for a build noop for referencing a Docker Image [link]

BUG FIXES:

cli/install: Set image pull policy configuration on Helm installation of Waypoint server and runner [link]
cli: Fix panic when setting project datasource to local [link]
core: Connected entrypoints for deleted projects now error out properly. [link]
core: Fix out of order job ids for module job stream CLI. [link]
plugin/nomad-jobspec: Fix deployment of periodic and system Nomad jobs. [link]
ui: Fix crash when encountering resources without IDs [link]
"
6,"0.10.1 (September 22, 2022)
IMPROVEMENTS:

core: Update TaskCancel to also cancel WatchTask job, if it was launched. [link]

BUG FIXES:

plugin/nomad-jobspec: Update Nomad jobspec status check to not report partial
health for deployments with canaries [link]
plugin/nomad: Update Nomad task launcher plugin to respect namespace and region
configs in runner profile [link]
plugin: Fix panic in non-ECS plugins when destroying resources [link]
runner-install/k8s: Use the service account created by helm in the runner profile, rather than using the default service account. [link]
runner-install/kubernetes: Fix the static runner image used in the module command [link]
"
7,"0.10.0 (September 13, 2022)
FEATURES:

core: Custom Pipelines as a Tech Preview gives users the ability to define custom pipelines to run various Waypoint actions such as a build, deploy, release, up and more for deploying applications. Waypoint will monitor and log each pipeline run, associated jobs, and show the results of executing that pipeline. [link]
core: Project Destroy Introduce a new CLI command module to delete projects in Waypoint and destroy their associated resources [link]
CLI: New waypoint.hcl interactive generator, accessed with module when no waypoint.hcl exists in the current project [link]

IMPROVEMENTS:

CLI: Nomad CSI volumes names can be specified during installation and upgrades for both Waypoint runners and Waypoint server installations [link]
cli/runnerinstall: The runner profile created by module sets target labels
instead of a target runner ID on the runner profile, if the user supplied label flags [link]
cli: Add option to module command to get a specific deployment's logs [link]
cli: Fix incorrect description for module command. [link]
cli: Implement module to allow users to attach to running job
streams and receieve output, or get the output from an existing job stream that
already finished. [link]
cli: Internal-only labels on runners are hidden from CLI output for module and module [link]
install/runner: Allow additional arguments for module command
to be supplied to module CLI [link]
internal/runnerinstall: Fix order of error checking and make error message more specific [link]
plugin/k8s: Add ephemeral-storage resource limits to on-demand runners through runner profiles. [link]
plugin/nomad: Implement WatchTask plugin for Nomad task launcher. Store Nomad on-demand runner logs in the job system. [link]
plugin/nomad: nomad-jobspec deployments will no longer utilize the
nomad-jobspec-canary releaser by default. [link]
serverinstall/ecs: Improve server upgrade process by stopping task and reducing
target group drain time [link]
ui: Fix header spacing on build/release detail pages [link]
ui: Make it clearer that remote runners are required for GitOps [link]
ui: Update alert copy to reflect change that we are no longer removing project definitively in 0.10.0 [link]

BUG FIXES:

cli/install/k8s: Fixes the k8s installer race condition with the bootstrap token [link]
cli/runnerinstall: Fix output error message for missing arguments on Nomad runner installation [link]
cli/runnerinstall: The runner profile created by module no longer sets
the profile as the default, and appends the runner ID to the name of the profile
for uniqueness [link]
cli/serverinstall/nomad: Add service discovery provider configuration
to server install for Nomad. [link]
cli: Do not set runner profile defaultness to false if default flag not specified. [link]
cli: Fix issue where the CLI would exit with no error or action taken if a local
  waypoint.hcl file was invalid [link]
cli: Fix order of CLI outputs during install [link]
cli: Only show runner profile default deletion hint if more than 0 default
profiles are detected on upgrades. [link]
cli: Set plugin configuration on runner profile created during module [link]
cli: Set the subnet and security group ID configs for the ECS task launcher plugin
during an ECS runner install [link]
cli: module will now attempt to destroy any known resources for failed
deployments. Previously, module would skip unsuccessful deployments. [link]
cli: module deletes by name rather than the user-invisible ID. [link]
cli: module does not create entries with duplicate names. [link]
core/runner: Default to odr oci image url for runner profiles created via runner install [link]
core/runner: Server no longer panics when a runner stopped after it is forgotten. [link]
core: prune releases which released deployments that are being pruned during
a release [link]
internal/pkg/gitdirty: Fix an issue detecting dirty local source code when using git@ remotes. [link]
plugin/nomad-jobspec-canary: Retrieve the status of the correct Nomad job for the
job resource [link]
ui: Add label to “follow logs” button [link]
ui: Make UI more resilient to invalid state JSON [link]
upgrade: Nomad server upgrade upgrade now detects runners with the name
module or module [link]
upgrade: Update ECS server upgrade to respect -ecs-server-image flag when the
existing server image is hashicorp/waypoint:latest [link]
"
8,"0.9.1 (July 28, 2022)
IMPROVEMENTS:

core: Adds string module function for HCL configs [link]
plugin/nomad: Convert Nomad job for ODR to batch job [link]

BUG FIXES:

internal: Fix deprecation warning being fatal [link]
plugin/tfc: Fix HCL field, module [link]
"
9,"0.9.0 (July 05, 2022)
FEATURES:

Waypoint Task Tracking: Waypoint now tracks the lifecycle of on-demand
runner tasks through a new internal core concept module. As ODR jobs run, Task
will keep track of what part the jobs are at for better debugging and on-demand
runner insight. [link]
cli: New module and module commands to install/uninstall Waypoint runners to a specified platform [link]
cli: New module command to delete a Waypoint runner profile [link]
cli: Refactor k8s server install to use Helm [link]
core: Add ability to have cli and runners use OAuth2 to get an auth token [link]
plugin/aws-ecr-pull: Introduces an module builder plugin
that enables using AWS ECR images that are built outside of Waypoint. [link]
plugin/lambda-function-url: Adds a new plugin and module component. This leverages Lambda URLs. [link]

IMPROVEMENTS:

cli: Show list of existing default runner profiles on post-upgrade to warn user
that only one runner profile should be default. [link]
cli: Add interactive input for server upgrade, server uninstall, and destroy commands [link]
cli: Remove unused flag module in module [link]
core/api: include commit message in datasource/git response [link]
core: on-demand runner logs are now captured from the underlying platform
and stored in the job system. [link]
core: show helpful errors when using invalid runner profile plugin config [link]
plugin/nomad: Support Nomad service discovery in Nomad platform plugin [link]
runner: runners will now accept and execute multiple jobs concurrently
if multiple jobs are available. On-demand runners continue to execute exactly
one job since they are purpose launched for single job execution. [link]
server: Introduce basic server-side metric collections around operations [link]
serverinstall/k8s: By default, do not set a mem or cpu limit or request for
the default runner profile installed. [link]
ui: Updated UI of breadcrumbs and UX to include current page [link]
upgrade: Warn user if default k8s runner profile has incorrect plugin configs [link]

DEPRECATIONS:

config: More than one app stanza within a waypoint.hcl file is deprecated, and will be removed in 0.10. Please see https://discuss.hashicorp.com/t/deprecating-projects-or-how-i-learned-to-love-apps/40888 for more information.

Since the initial version of Waypoint, the product has supported the ability to configure multiple apps within a single waypoint.hcl file. This functionality is deprecated and will be removed in the next release. The vast majority of users are not using this functionality and it served mostly as a source of confusion for users. For users who are using a monorepo pattern, we plan to add better workflows for you.
With a waypoint.hcl now focused on the configuration of a single application, the concept of a project within the Waypoint data model will be removed, moving applications to the top level. This is already how users talk about using Waypoint and we are confident that it will improve the overall understanding of Waypoint as well.
If you have questions about this change in functionality, we invite you to discuss with us at https://discuss.hashicorp.com/t/deprecating-projects-or-how-i-learned-to-love-apps/40888 or https://github.com/hashicorp/waypoint/issues.
[link]
BUG FIXES:

cli: fix git dirty check that was broken for some versions of the git cli [link]
cli: fix panic when running status report on app with zero prior deployments [link]
core: Fix a rare panic when generating an invite token. [link]
plugin/docker: Ensure that the docker task launcher does not require a resources
block to be set when attempting to load a task config to launch a task. [link]
plugin/docker: fix issue with remote operations for module builder [link]
plugin/k8s: Properly parse kubernetes task launcher config on plugin invoke. [link]
upgrade: Update existing runner profile during server upgrade & change naming convention of initial runner profile [link]
"
10,"0.8.2 (May 19, 2022)
IMPROVEMENTS:

cli: Output message if no runners are found for 'runner list' [link]
core: git cloning now supports recursively cloning submodules [link]
plugin/aws-lambda: Add platform config validation. [link]
plugin/aws-lambda: add support for lambda storage size [link]
plugin/k8s: Add CPU and memory resource limits to on-demand runners through runner profiles and at install time. These resource limits follow the same format that kubernetes expects within module. [link]
plugin/lambda: Add module to deploy plugin [link]
plugin/nomad-jobspec: Add configuration option to parse jobspec as HCL1 instead of HCL2 [link]
plugin/nomad: Support Consul & Vault tokens for job submission [link]

BUG FIXES:

builtin/k8s: Ensure pod.container.static_environment is applied [link]
cli: Fix missing bootstrap hint with server run command [link]
cli: Prevent panic when releasing unsuccessful deployments [link]
cli: Show better error message when there are no Waypoint contexts when attempting
to open the UI [link]
install/nomad: Add support for CSI params & secrets to Nomad install [link]
install/nomad: Fix DB directory for Nomad install [link]
internal/cli: Fix module workspace selection [link]
plugin/docker: support remote operations for docker-pull plugin [link]
plugin/k8s: Ensure module environment variable is set for Kaniko
to properly detect running inside a container, which prevented on-demand
runners from working on Kubernetes 1.23. [link]
server: fix issue cleaning up tasks in Kubernetes that completed successfully [link]
"
