Index,Message,Description
1,docs: update readme with security warning,
2,chore: remove sessions count from locale files (#2155),  chore: remove sessions count from locale files   chore: remove sessions count from RU locale file 
3,chore: remove an translation action,
4,make project deprecation clearer,
5,chore: Update translations (#2149),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
6,update README with support notice,
7,docs: tweak the guide for inspector,
8,fix: change stop-server icon (#2106),"  change stop-server icon   integrate gitpod   install gitpod-electron dependencies   Revert ""integrate gitpod""   This reverts commit b3d3633e1f980a4a259917299952a24e42f582c2.  Revert ""install gitpod-electron dependencies""  This reverts commit 3727117c67f646a5490de959856008f906a67cc6.  change stop icon to square"
9,chore: Update translations (#2119),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
10,feat: add it (#2117),
11,docs: update readme to use appium and the inspector for appium 2,
12,chore: Update translations (#2108),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
13,Fix: for logLevel being honored and icons for log levels cleanup to accept colorized logs from Appium (#2096), Better colorization & iconography in console Added colorization to console to help distinguish type of message Fixed logLevel not being honored Fixed icons to distinguish log level  Removed silly in leveler   Use colorized console string from appium instead of colorizing them ourselves   Fixing output of logs with color   Remove commented code   Fix lint issue 
14,chore: Update translations (#2099),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
15,chore: Update translations (#2097),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
16,feat: add ability to decrease and increase font size of console (#2094),  Update CONTRIBUTING.md and add ability to decrease and increase font size of console   Small fix for duplicate ID 
17,chore: Update translations (#2091),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
18,chore(deps-dev): bump sinon from 11.1.2 to 14.0.0 (#2039),Bumps sinon from 11.1.2 to 14.0.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: sinon   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
19,chore(deps): bump react-i18next from 11.16.2 to 11.18.3 (#2086),Bumps react-i18next from 11.16.2 to 11.18.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: react-i18next   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Kazuaki Matsuo fly.49.89.over@gmail.com
20,chore(deps): bump i18next from 20.6.1 to 21.9.0 (#2088),Bumps i18next from 20.6.1 to 21.9.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: i18next   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
21,chore: Update translations (#2087),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
22,chore: Update translations (#2084),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
23,chore: Update translations (#2082),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
24,update: add strings to translation.json,
25,chore: update docs and bump version to 1.22.3-5,
26,chore: Update translations (#2070),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
27,chore: Update translations (#2049),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
28,chore: Update translations (#2054),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
29,docs: address v1.22.3-4 about the sign issue fix,
30,Merge branch 'master' of github.com:appium/appium-desktop,
31,chore: nump the version to build properly,
32,ci: Update package.yml for Azure Pipelines,
33,ci: try to build with node 16,
34,chore: bump the version for release,
35,"chore: revert CSC key removal, should be working now",
36,chore: fix readme typo (HT @ngregory-rbi),
37,chore: comment out CSC (#1996),
38,chore: Update translations (#2016),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
39,chore: update builder (#2014),
40,chore(deps-dev): bump asyncbox from 2.8.0 to 2.9.2 (#1997),Bumps asyncbox from 2.8.0 to 2.9.2. - Release notes - Commits  updated-dependencies: - dependency-name: asyncbox   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
41,chore(deps-dev): bump eslint-plugin-react-native from 3.11.0 to 4.0.0 (#1998),Bumps eslint-plugin-react-native from 3.11.0 to 4.0.0. - Release notes - Commits  updated-dependencies: - dependency-name: eslint-plugin-react-native   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
42,chore: build with nodejs 14 and electron 10 (#2013),
43,chore: electron 9 (#2012),  update submodule   chore: bump deps   fix tests 
