Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
chore: bump @electron/notarize from 1.2.3 to 1.2.4 (#1518),0.82854134,Upgrade electron-notarize to ^0.2.0 (#1069),"Bumps @electron/notarize from 1.2.3 to 1.2.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@electron/notarize""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",1
build: update electron/electron-quick-start branch to main (#1505),0.7321564,Limited support for electron-prebuilt-compile (#608),,1
chore: bump sinon from 15.0.3 to 15.0.4 (#1504),0.48463053,Bump got to 2.0.0 (#1397),Bumps sinon from 15.0.3 to 15.0.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: sinon   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore: bump @electron/asar from 3.2.3 to 3.2.4 (#1494),0.6903747,Replaced asar with @electron/asar. The configuration options are unchanged. This migration is purely cosmetic. (#1431),"Bumps @electron/asar from 3.2.3 to 3.2.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@electron/asar""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore: bump fs-extra from 11.1.0 to 11.1.1 (#1488),0.7516186,Upgrade fs-extra to ^8.1.0 (#993),Bumps fs-extra from 11.1.0 to 11.1.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: fs-extra   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore: bump actions/checkout from 3.3.0 to 3.5.2 (#1498),0.4099083,Bump got to 2.0.0 (#1397),Bumps actions/checkout from 3.3.0 to 3.5.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: actions/checkout   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
build: use CircleCI cimg/node images (#1506),0.3764047,Node 16 & 18 support (#1399),,0
chore: bump sinon from 15.0.1 to 15.0.3 (#1491),0.49193197,Bump got to 2.0.0 (#1397),Bumps sinon from 15.0.1 to 15.0.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: sinon   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
docs: update required version of Nodejs from 10.0 to 14.17.5 in README.md (#1483),0.58505845,[CLI] Minimum Node version is enforced (#454),,0
docs: update links in README.md (#1474),0.63143796,API documentation moved from readme.md to docs/api.md (#296),Also adds a status badge for the “electron-nightly canary” scheduled workflow,0
chore: bump eslint-plugin-import from 2.26.0 to 2.27.5 (#1468),0.44792244,A warning is emitted when an Electron module is a production dependency (#819),Bumps eslint-plugin-import from 2.26.0 to 2.27.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: eslint-plugin-import   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore: bump sinon from 14.0.1 to 15.0.1 (#1461),0.50601214,Bump got to 2.0.0 (#1397),Bumps sinon from 14.0.1 to 15.0.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: sinon   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore: bump fs-extra from 10.1.0 to 11.1.0 (#1455),0.74626315,Upgrade fs-extra to ^8.1.0 (#993),Bumps fs-extra from 10.1.0 to 11.1.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: fs-extra   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore: bump eslint-plugin-ava from 12.0.0 to 13.2.0 (#1322),0.43567955,Upgrade to electron-osx-sign 0.4.x (#384),Bumps eslint-plugin-ava from 12.0.0 to 13.2.0. - Release notes - Commits updated-dependencies: - dependency-name: eslint-plugin-ava   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore: bump http-cache-semantics from 4.1.0 to 4.1.1 (#1476),0.522321,cache is deprecated in favor of download.cache (#320),Bumps http-cache-semantics from 4.1.0 to 4.1.1. - Release notes - Commits updated-dependencies: - dependency-name: http-cache-semantics   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
build: update GitHub actions workflows (#1475),0.43621248,Allow checking official builds against prerelease versions (#1191),,0
build: bump dependencies to clean yarn audit (#1473),0.5068533,Stop yarn creating .bin folders when pruning (#678),,0
chore: set @wg-ecosystem as CODEOWNERS (#1471),0.35808355,"The GitHub repository has been moved into an organization,",,0
chore: bump @electron/asar from 3.2.2 to 3.2.3 (#1469),0.6547824,Replaced asar with @electron/asar. The configuration options are unchanged. This migration is purely cosmetic. (#1431),"Bumps @electron/asar from 3.2.2 to 3.2.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@electron/asar""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore: bump json5 from 1.0.1 to 1.0.2 (#1465),0.59618247,Retrieving metadata from package.json by upgrading get-package-info (#505),Bumps json5 from 1.0.1 to 1.0.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore: bump @electron/osx-sign from 1.0.1 to 1.0.4 (#1457),0.8259373,Upgrade to electron-osx-sign 0.4.x (#384),"Bumps @electron/osx-sign from 1.0.1 to 1.0.4. - Release notes - Commits updated-dependencies: - dependency-name: ""@electron/osx-sign""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",1
build: update got to clean up yarn audit (#1456),0.49352384,Stop yarn creating .bin folders when pruning (#678),,0
docs: use tsdoc @link syntax for index.d.ts (#1450),0.4470008,TypeScript definition (#1131),,0
chore: bump @electron/universal from 1.3.3 to 1.3.4 (#1451),0.6974424,Bump got to 2.0.0 (#1397),"Bumps @electron/universal from 1.3.3 to 1.3.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@electron/universal""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
fix(targets): linux/ia32 official support was removed in Electron 19 (#1449),0.9108507,Linux/ia32 is no longer officially supported for Electron >= 4 (#957),,1
chore: update galactus (#1441),0.4652026,Upgraded galactus to ^0.2.1 to fix a bug with relative paths,chore: update galactus build: add lockfile,0
fix: ensure logs are quiet when quiet flag is passed (#1440),0.58749616,Package should not log info on --quiet flag,,0
Fix typos (#1438),0.43941045,"  hyphens (#308, #455)",,0
