Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Fix tests,0.70178384,Fix actingAsClient testing method (#1119),,1
2,Merge pull request #421 from lucasmichot/feature/3.0/composer,0.5285082,Fix migrations tag publish (#832),This reverts commit a75f0a92136a6cf91e5c6755374f77bf4b30c411.,0
3,Merge pull request #1069 from jessarcher/support-xsrf-token-header,0.5417483,Accept requests with the encrypted X-XSRF-TOKEN HTTP header (#1069),,0
4,Update author email,0.48326355,Add ability to customize the RefreshToken (#966),  Added provider guard to Password Grant Client.   Add argument provider in InstallCommand   formatting    Co-authored-by: Taylor Otwell taylor@laravel.com,0
5,Accept requests with the encrypted X-XSRF-TOKEN HTTP header,0.9734372,Accept requests with the encrypted X-XSRF-TOKEN HTTP header (#1069),,1
6,Add responses for destroy methods,0.92983735,Add responses for destroy methods (#942),,1
7,static setter for revoking other tokens,0.6721128,Revoke refresh tokens when auth tokens get revoked (#1186),,0
8,[10.x] Allow to use custom authorization server response (#1521),0.9507263,Allow to use custom authorization server response (#1521)﻿,,1
9,Some style fixes.,0.5787356,Changed,,0
10,Update PurgeCommand.php (#1586),0.7331097,Update PurgeCommand.php by @fatoskurtishi in https://github.com/laravel/passport/pull/1586,  Allow lcobucci/jwt v5   Temp change to see why CI no likey   Update composer.json   Update composer.json   Fixes   Update composer.json ,1
11,Merge pull request #832 from yamenarahman/7.0,0.4922235,Fix migrations tag publish (#832),,0
12,allow tokens to be flushed,0.6903756,Revoke refresh tokens when auth tokens get revoked (#1186),,0
13,DocBlocks,0.72922224,Fix AccessToken docblock (#996),,1
14,Merge pull request #1149 from crynobone/phpunit-update,0.55000186,Fix jsonSerialize PHP 8.1 issue (#1512)﻿,,0
15,Do not auto increment AuthCode ID,0.95087296,Do not auto increment AuthCode ID (#929),,1
16,Merge pull request #913 from driesvints/change-client-id-column-types,0.61462367,Use unsignedInteger column type for client_id columns (47f0021),,0
17,updated firebase/php-jwt dependency,0.74183464,Upgrade firebase/php-jwt to ^6.0 by @prufrock in https://github.com/laravel/passport/pull/1538,,1
18,Fix maxlength for token names (#1300),1.0000001,Fix maxlength for token names (#1300),,1
19,Merge pull request #855 from vitorbari/add-client-credentials-any-scope-middleware,0.63154584,Add middleware CheckClientCredentialsForAnyScope (#855),,0
20,Merge pull request #230 from themsaid/switchToUsingAxios,0.53673905,Fix migrations tag publish (#832),,0
21,Changing client command to insert personal access client via model instead of raw,0.69073385,"Add user relationship to client model (#851, 3213be8)",,0
22,Merge pull request #90 from etelford/etelford-use-model-when-creating-oauth-clients,0.5743837,"Add user relationship to client model (#851, 3213be8)",This reverts commit db543b0cc13ed3f56f1bffda04707fbe2a8c7ab5.,0
23,Merge pull request #8 from oyed/patch-1,0.5280986,Allow access to HTTP response status code on OAuthServerException (#1148),,0
24,"Tweak client command to be able to generate ""regular"" clients.",0.563439,Update ClientCommand to support public clients (#1151),This reverts commit 08b1dabfdddbdf2472ef193609f75f475208ec90.,0
25,Let Passport support inherited parent scopes.,0.9181931,Let Passport support inherited parent scopes (#1068),,1
26,Merge pull request #920 from themsaid/pr/17313,0.534819,Fix migrations tag publish (#832),Co-authored-by: tony tony.wang@sjfood.com,0
27,Remove nightly builds,0.52052575,Removed,  Implements authorization view response contract that allows for being overridden with custom views   Updated namespace   Updated namespace   Moved individual arguments to an array of parameters and one argument   Removed authorize return type   Remove old return statement   Add IntelliJ IDE files to gitignore   Formatting   Update tests   Update rest of tests with new response class   Style fixes and make sure parameters pushed to authorization view are in an array.   Remove parameters from authorization view function   Update .gitignore   Update src/Contracts/AuthorizationViewResponse.php   Co-authored-by: Choraimy Kroonstuiver 3661474+axlon@users.noreply.github.com  Update src/Http/Responses/AuthorizationViewResponse.php  Co-authored-by: Choraimy Kroonstuiver 3661474+axlon@users.noreply.github.com   Updated doc block return types   formatting   remove extra line    Co-authored-by: Dries Vints dries@vints.io Co-authored-by: Choraimy Kroonstuiver 3661474+axlon@users.noreply.github.com Co-authored-by: Taylor Otwell taylor@laravel.com,0
28,use diactoros 2.0 and psr-http-factory,0.9469299,Use diactoros 2.0 and psr-http-factory (aadf603),Co-authored-by: Chris Page chris@motocom.co.uk,1
29,add additional argument for authorize method,0.606497,Allow to use custom authorization server response (#1521)﻿,,0
30,Move third argument to newline,0.416622,Fix str_replace error when third parameter ($subject) is null (#1511)﻿,,0
31,Adding options,0.4947294,Add ability to customize the RefreshToken (#966),,0
32,Merge branch 'feature/add-implicit-flow' of https://github.com/RyanTheAllmighty/passport into RyanTheAllmighty-feature/add-implicit-flow,0.5701929,Allow overriding the AccessToken class by @hafezdivandari in https://github.com/laravel/passport/pull/1638,,0
33,Add password grant feature tests,0.534546,Pass user identifier through to finalize scopes in personal access grant by @GrahamCampbell in https://github.com/laravel/passport/pull/1650,,0
