Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
fix(typescript): simplify ProbotWebhooks object (#1833),0.9704845,typescript: simplify ProbotWebhooks object (#1833) (7b09369),,1
feat(server): add logging options (#1645),0.88137555,server: add logging options (#1645) (6c5840d),,1
docs: fix link (#1774),0.5673636,"Fix link to ""Create the GitHub App"" (#786) @chadfawcett",,0
fix(typescript): add missing import (#1783),0.97647935,typescript: add missing import (#1783) (229a01c),,1
build(typescript): make TS happy,0.64705896,"Many more improvements to our TypeScript support, including:",,0
build(package): lock file,0.35707012,package: debugging version replacements as part of automated release process ... so sorry for the noise UGH (7753758),,0
build(release.yml): set node-version to lts/*,0.5756831,trigger release to publish latest version to npm (c5c8158),,0
build(deps): bump json5 from 2.2.0 to 2.2.3,0.47414643,deps: bump eventsource from 1.1.0 to 2.0.2 (7fd06d6),Bumps json5 from 2.2.0 to 2.2.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
build(deps): bump decode-uri-component from 0.2.0 to 0.2.2,0.5526551,deps: bump eventsource from 1.1.0 to 2.0.2 (7fd06d6),Bumps decode-uri-component from 0.2.0 to 0.2.2. - Release notes - Commits updated-dependencies: - dependency-name: decode-uri-component   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
build(deps): upgrade @octokit/types to v8 (#1763),0.8586624,deps: upgrade octokit/types to v7.1.1 (#1724) (be45120),,1
docs: added an example reference for a bot tested with mocha and sinon (#1744),0.45216435,createProbot()  (#1431) (d315f0c),Signed-off-by: Tomer Figenblat tomer.figenblat@gmail.com,0
chore(deps): update dependency @types/node to v16,0.5669597,require Node 10.21+,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @octokit/webhooks-methods to v3,0.8058004,package: update @octokit/webhooks to version 6.0.0 (172a0b3),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,1
chore(deps): update dependency tsd to ^0.23.0 (#1729),0.5833732,update hbs dependency to ^4.0.4 (#973) (de79aab),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
build: renovate setup,0.5871166,Build System,,0
build: remove renovate setup from package.json,0.583047,"package: remove ""prepare"" step (9b79924)",,0
build: revert 3c6dca6c1db719eca8f51d62f87a4c6fb2e0e655,0.6248925,"revert ""v9.14.0"" (#1314) (e3f6cf5)",,0
fix: Make probot receive support complex Probot apps (#1714),0.9115978,Make probot receive support complex Probot apps (#1714) (eff5553),The command probot receive fails to work when: The Probot appFn is asynchronous The Probot appFn requires getRouter The command probot run works fine though with the same app. This attempts to add support for these sort of Probot apps when calling probot receive.,1
style: prettier,0.33881366,Enhancements,,0
fix(receive): --base-url option and GHE_HOST (#1719),0.9447394,receive: --base-url option and GHE_HOST (#1719) (68c9b91),,1
