Index,Release Note,Release Note Abstract
1,"
Mark as deprecated using night() and $useDarkTheme by @lloricode in https://github.com/laravel/horizon/pull/1279
",Mark as deprecated using night() and $useDarkTheme by @lloricode in link
2,"
Refreshes tags periodically by @nunomaduro in https://github.com/laravel/horizon/pull/1274
Respect the prefers-color-scheme setting by @ramonrietdijk in https://github.com/laravel/horizon/pull/1275
","Refreshes tags periodically by @nunomaduro in link
Respect the prefers-color-scheme setting by @ramonrietdijk in link"
3,"
Fix deprecation errors for PHP 8.2 by @AntonCooper in https://github.com/laravel/horizon/pull/1270
",Fix deprecation errors for PHP 8.2 by @AntonCooper in link
4,"
Add cancelled status to batch overview by @markvaneijk in https://github.com/laravel/horizon/pull/1255
Add autoScalingStrategy option by @cosmastech in https://github.com/laravel/horizon/pull/1254
","Add cancelled status to batch overview by @markvaneijk in link
Add autoScalingStrategy option by @cosmastech in link"
5,"Changed

Remove Lodash by @jessarcher in https://github.com/laravel/horizon/pull/1246
Bump axios to v1.x by @ankurk91 in https://github.com/laravel/horizon/pull/1247
","Changed
Remove Lodash by @jessarcher in link
Bump axios to v1.x by @ankurk91 in link"
6,"Fixed

Fix missing variable use in anonymous function by @joshuaruesweg in https://github.com/laravel/horizon/pull/1244
","Fixed
Fix missing variable use in anonymous function by @joshuaruesweg in link"
7,"Changed

Allow any queued class to be silenced by @lioneaglesolutions in https://github.com/laravel/horizon/pull/1241
A fresh coat of paint by @jessarcher in https://github.com/laravel/horizon/pull/1242
","Changed
Allow any queued class to be silenced by @lioneaglesolutions in link
A fresh coat of paint by @jessarcher in link"
8,"Added

Implement Silenced interface by @driesvints in https://github.com/laravel/horizon/pull/1236

Fixed

Increase perPage variable for monitored tags by @joshuaruesweg in https://github.com/laravel/horizon/pull/1237
","Added
Implement Silenced interface by @driesvints in link
Fixed
Increase perPage variable for monitored tags by @joshuaruesweg in link"
9,"Added

Silenced jobs by @driesvints in https://github.com/laravel/horizon/pull/1232
Laravel v10 Support by @driesvints in https://github.com/laravel/horizon/pull/1234
","Added
Silenced jobs by @driesvints in link
Laravel v10 Support by @driesvints in link"
10,"Changed

Uses PHP Native Type Declarations 🐘 by @nunomaduro in https://github.com/laravel/horizon/pull/1206

Fixed

Fix vue-json-pretty CSS for new classnames by @datpmwork in https://github.com/laravel/horizon/pull/1231
","Changed
Uses PHP Native Type Declarations 🐘 by @nunomaduro in link
Fixed
Fix vue-json-pretty CSS for new classnames by @datpmwork in link"
